judgmentDate,count
2010-01-03,1
2010-01-04,247
2010-01-05,232
2010-01-06,301
2010-01-07,385
2010-01-08,303
2010-01-09,1
2010-01-11,260
2010-01-12,358
2010-01-13,1540
2010-01-14,1453
2010-01-15,304
2010-01-16,6
2010-01-17,18
2010-01-18,427
2010-01-19,2753
2010-01-20,1280
2010-01-21,1480
2010-01-22,439
2010-01-23,4
2010-01-24,3
2010-01-25,658
2010-01-26,1081
2010-01-27,4639
2010-01-28,4138
2010-01-29,644
2010-01-30,4
2010-01-31,23
2010-02-01,488
2010-02-02,2
2010-02-03,619
2010-02-04,694
2010-02-05,343
2010-02-06,2
2010-02-07,3
2010-02-08,442
2010-02-09,313
2010-02-10,963
2010-02-11,2931
2010-02-12,333
2010-02-14,4
2010-02-15,9
2010-02-17,317
2010-02-18,480
2010-02-19,398
2010-02-20,3
2010-02-22,474
2010-02-23,2299
2010-02-24,4207
2010-02-25,4960
2010-02-26,566
2010-02-27,10
2010-02-28,4
2010-03-01,418
2010-03-02,386
2010-03-03,1127
2010-03-04,748
2010-03-05,327
2010-03-06,2
2010-03-08,849
2010-03-09,998
2010-03-10,3932
2010-03-11,4824
2010-03-12,562
2010-03-13,173
2010-03-14,1
2010-03-15,740
2010-03-16,2275
2010-03-17,2601
2010-03-18,2834
2010-03-19,437
2010-03-20,2
2010-03-21,14
2010-03-22,608
2010-03-23,2775
2010-03-24,3817
2010-03-25,4675
2010-03-26,1175
2010-03-27,13
2010-03-28,3
2010-03-29,853
2010-03-30,2800
2010-03-31,3914
2010-04-01,940
2010-04-02,10
2010-04-03,19
2010-04-04,18
2010-04-05,550
2010-04-06,1418
2010-04-07,3236
2010-04-08,4867
2010-04-09,684
2010-04-10,19
2010-04-11,5
2010-04-12,538
2010-04-13,1264
2010-04-14,2952
2010-04-15,2878
2010-04-16,588
2010-04-17,5
2010-04-18,1
2010-04-19,538
2010-04-20,1794
2010-04-21,3
2010-04-22,2207
2010-04-23,777
2010-04-24,1
2010-04-25,3
2010-04-26,976
2010-04-27,1742
2010-04-28,4819
2010-04-29,5412
2010-04-30,625
2010-05-03,1399
2010-05-04,1607
2010-05-05,2490
2010-05-06,2936
2010-05-07,702
2010-05-08,6
2010-05-09,5
2010-05-10,656
2010-05-11,1624
2010-05-12,3404
2010-05-13,4000
2010-05-14,515
2010-05-15,1
2010-05-16,2
2010-05-17,556
2010-05-18,2188
2010-05-19,3296
2010-05-20,3326
2010-05-21,675
2010-05-22,7
2010-05-23,4
2010-05-24,445
2010-05-25,2443
2010-05-26,4420
2010-05-27,4700
2010-05-28,1713
2010-05-29,8
2010-05-30,7
