weekDay,subject,count
Sun,\xc3\x81guas P\xc3\xbablicas,2
Sun,1,1
Sun,Abandono Material,2
Sun,Acidente de Tr\xc3\xa2nsito,7
Sun,Acidente de Trabalho,3
Sun,Acidente De Trabalho,1
Sun,Adicional de Horas Extras,2
Sun,Adicional de Insalubridade,8
Sun,Adicional de Servi\xc3\xa7o Noturno,15
Sun,Adimplemento e Extin\xc3\xa7\xc3\xa3o,1
Sun,Administra\xc3\xa7\xc3\xa3o de Heran\xc3\xa7a,1
Sun,Adultera\xc3\xa7\xc3\xa3o de Sinal Identificador de Ve\xc3\xadculo Automotor,2
Sun,Agentes Pol\xc3\xadticos,1
Sun,Agrot\xc3\xb3xicos,1
Sun,Aliena\xc3\xa7\xc3\xa3o Fiduci\xc3\xa1ria,134
Sun,Alimentos,44
Sun,Amea\xc3\xa7a,7
Sun,Anula\xc3\xa7\xc3\xa3o,2
Sun,Anula\xc3\xa7\xc3\xa3o de D\xc3\xa9bito Fiscal,1
Sun,Anula\xc3\xa7\xc3\xa3o e Corre\xc3\xa7\xc3\xa3o de Provas,2
Sun,Aposentadoria,2
Sun,Aposentadoria por Invalidez Acident\xc3\xa1ria,1
Sun,Apropria\xc3\xa7\xc3\xa3o ind\xc3\xa9bita,7
Sun,Apura\xc3\xa7\xc3\xa3o de haveres,1
Sun,Aquisi\xc3\xa7\xc3\xa3o,1
Sun,Arrendamento Mercantil,14
Sun,Arrendamento Rural,2
Sun,Assembl\xc3\xa9ia,3
Sun,Associa\xc3\xa7\xc3\xa3o,2
Sun,Associa\xc3\xa7\xc3\xa3o para a Produ\xc3\xa7\xc3\xa3o e Tr\xc3\xa1fico e Condutas Afins,2
Sun,Atentado Violento ao Pudor,6
Sun,Ato,1
Sun,Ato Infracional,24
Sun,Atos Administrativos,8
Sun,Autofal\xc3\xaancia,2
Sun,Aux\xc3\xadlio,75
Sun,Banc\xc3\xa1rios,24
Sun,Bem de Fam\xc3\xadlia,3
Sun,Benef\xc3\xadcios em Esp\xc3\xa9cie,7
Sun,Bens P\xc3\xbablicos,1
Sun,C\xc3\xa9dula de Cr\xc3\xa9dito Industrial,1
Sun,C\xc3\xa9dula de Cr\xc3\xa9dito Rural,4
Sun,C\xc3\xa9dula de Produto Rural,1
Sun,Cadastro de An\xc3\xa1lise de Cr\xc3\xa9dito,119
Sun,Cal\xc3\xbania,1
Sun,Capacidade,14
Sun,Cart\xc3\xa3o de Cr\xc3\xa9dito,11
Sun,Casamento,1
Sun,Cheque,23
Sun,Classifica\xc3\xa7\xc3\xa3o e,4
Sun,CNH,9
Sun,Coa\xc3\xa7\xc3\xa3o no curso do processo,1
Sun,Cofins,28
Sun,Coisas,1
Sun,Comercializa\xc3\xa7\xc3\xa3o de dados cadastrais de consumidores,2
Sun,Compra e Venda,27
Sun,Concess\xc3\xa3o,9
Sun,Concurso P\xc3\xbablico,6
Sun,Concuss\xc3\xa3o,4
Sun,Condom\xc3\xadnio,9
Sun,Condom\xc3\xadnio em Edif\xc3\xadcio,2
Sun,Cons\xc3\xb3rcio,5
Sun,Contra a liberdade pessoal,1
Sun,Contra a vida,1
Sun,Contra o Patrim\xc3\xb4nio,1
Sun,Contratos Administrativos,5
Sun,Contratos Banc\xc3\xa1rios,258
Sun,Contratos de Consumo,66
Sun,Contratos de Participacao Financeira,67
Sun,Contraven\xc3\xa7\xc3\xb5es Penais,23
Sun,Contribui\xc3\xa7\xc3\xa3o Sindical,1
Sun,Contribui\xc3\xa7\xc3\xb5es,4
Sun,Contribui\xc3\xa7\xc3\xb5es de Melhoria,10
Sun,Contribui\xc3\xa7\xc3\xb5es Previdenci\xc3\xa1rias,59
Sun,Contribui\xc3\xa7\xc3\xb5es Sociais,4
Sun,Controle de Constitucionalidade,1
Sun,Corretagem,1
Sun,Corrup\xc3\xa7\xc3\xa3o ativa,3
Sun,Cr\xc3\xa9dito Tribut\xc3\xa1rio,2
Sun,Crimes contra a Flora,2
Sun,Crimes contra as Rela\xc3\xa7\xc3\xb5es de Consumo,8
Sun,Crimes de Lavagem ou Oculta\xc3\xa7\xc3\xa3o de Bens,1
Sun,Crimes de Responsabilidade,1
Sun,Crimes de Tortura,1
Sun,Crimes de Tr\xc3\xa1fico Il\xc3\xadcito e uso indevido de drogas,6
Sun,Crimes de Tr\xc3\xa2nsito,49
Sun,Crimes do Sistema Nacional de Armas,49
Sun,Crimes Previstos no Estatuto do Idoso,2
Sun,D\xc3\xadvida Ativa n\xc3\xa3o,29
Sun,Da Polui\xc3\xa7\xc3\xa3o,1
Sun,Dano Qualificado,1
Sun,De Tr\xc3\xa1fico Il\xc3\xadcito e Uso Indevido de Drogas,1
Sun,Decorrente de Viol\xc3\xaancia Dom\xc3\xa9stica,5
Sun,Desacato,10
Sun,Desapropria\xc3\xa7\xc3\xa3o,1
Sun,Desapropria\xc3\xa7\xc3\xa3o Indireta,1
Sun,Desapropria\xc3\xa7\xc3\xa3o por Interesse Social Comum,1
Sun,Desconto em folha de pagamento,2
Sun,Descontos Indevidos,3
Sun,Despesas Condominiais,16
Sun,Difama\xc3\xa7\xc3\xa3o,2
Sun,DIREITO ADMINISTRATIVO E OUTRAS MAT\xc3\x89RIAS DE DIREITO P\xc3\x9aBLICO,16
Sun,Direito Autoral,4
Sun,DIREITO CIVIL,2
Sun,DIREITO DA CRIAN\xc3\x87A E DO ADOLESCENTE,41
Sun,Direito de Imagem,2
Sun,Direito de Prefer\xc3\xaancia,1
Sun,Direito de Vizinhan\xc3\xa7a,6
Sun,DIREITO DO CONSUMIDOR,8
Sun,DIREITO PENAL,2
Sun,Dissolu\xc3\xa7\xc3\xa3o,45
Sun,Divis\xc3\xa3o e Demarca\xc3\xa7\xc3\xa3o,5
Sun,Do Sistema Nacional de Armas,1
Sun,Duplicata,13
Sun,Eleitorais,1
Sun,Empr\xc3\xa9stimo consignado,6
Sun,Empregado P\xc3\xbablico,2
Sun,Ensino Fundamental e M\xc3\xa9dio,60
Sun,Ensino Superior,40
Sun,Entrada e Perman\xc3\xaancia de Menores,1
Sun,Erro M\xc3\xa9dico,1
Sun,Esbulho,6
Sun,Esp\xc3\xa9cies de Contratos,22
Sun,Esp\xc3\xa9cies de T\xc3\xadtulos de Cr\xc3\xa9dito,4
Sun,Estabelecimentos de Ensino,6
Sun,Estaduais,1
Sun,Estelionato,6
Sun,Estupro,20
Sun,ESTUPRO DE VULNERAVEL,39
Sun,Exame Psicot\xc3\xa9cnico,1
Sun,Exibicao de Documentos,2
Sun,Exonera\xc3\xa7\xc3\xa3o,7
Sun,Expurgos Inflacion\xc3\xa1rios,93
Sun,Extors\xc3\xa3o,3
Sun,F\xc3\xa9rias,2
Sun,Falsifica\xc3\xa7\xc3\xa3o,2
Sun,Falsifica\xc3\xa7\xc3\xa3o de documento p\xc3\xbablico,1
Sun,Falso testemunho ou falsa per\xc3\xadcia,1
Sun,Fam\xc3\xadlia,17
Sun,Fiscaliza\xc3\xa7\xc3\xa3o,1
Sun,Fixa\xc3\xa7\xc3\xa3o,2
Sun,Fornecimento de \xc3\x81gua,28
Sun,Fornecimento de Energia El\xc3\xa9trica,70
Sun,Fornecimento de Medicamentos,53
Sun,Fraude no Pagamento por Meio de Cheque,1
Sun,Furto,23
Sun,Furto Privilegiado,3
Sun,Furto Qualificado,75
Sun,Garantias Constitucionais,2
Sun,Gest\xc3\xa3o de Neg\xc3\xb3cios,1
Sun,Gratifica\xc3\xa7\xc3\xa3o de Incentivo,1
Sun,Gratifica\xc3\xa7\xc3\xa3o Natalina,1
Sun,Gratifica\xc3\xa7\xc3\xb5es de Atividade,4
Sun,Gratifica\xc3\xa7\xc3\xb5es e Adicionais,7
Sun,Grav\xc3\xadssima,4
Sun,Grave,3
Sun,Guarda,13
Sun,Habilita\xc3\xa7\xc3\xa3o,1
Sun,Homic\xc3\xaddio Privilegiado,2
Sun,Homic\xc3\xaddio Qualificado,139
Sun,Homic\xc3\xaddio Simples,21
Sun,Honorarios Profissionais,9
Sun,ICMS,148
Sun,Imiss\xc3\xa3o,4
Sun,Impostos,54
Sun,Improbidade Administrativa,3
Sun,Inadimplemento,1
Sun,Inc\xc3\xaandio,1
Sun,Inclus\xc3\xa3o Indevida em Cadastro de Inadimplentes,51
Sun,Indeniza\xc3\xa7\xc3\xa3o,5
Sun,Indeniza\xc3\xa7\xc3\xa3o por Dano Material,23
Sun,Indeniza\xc3\xa7\xc3\xa3o por Dano Moral,277
Sun,Ingresso e Exclus\xc3\xa3o dos S\xc3\xb3cios na Sociedade,2
Sun,Inj\xc3\xbaria,1
Sun,Integralidade,18
Sun,Invalidez Permanente,1
Sun,Invent\xc3\xa1rio e Partilha,34
Sun,Investiga\xc3\xa7\xc3\xa3o de Paternidade,4
Sun,IPTU,271
Sun,IPVA,19
Sun,IRPF,24
Sun,Isonomia,1
Sun,ISS,51
Sun,ITBI,3
Sun,ITCD,4
Sun,Jogos de Bingo e,1
Sun,Jornada de Trabalho,5
Sun,Latroc\xc3\xadnio,16
Sun,Libera\xc3\xa7\xc3\xa3o de Ve\xc3\xadculo Apreendido,7
Sun,Licen\xc3\xa7a,3
Sun,Licen\xc3\xa7a Pr\xc3\xaamio,1
Sun,Licen\xc3\xa7as,2
Sun,Licenciamento de Ve\xc3\xadculo,8
Sun,Licita\xc3\xa7\xc3\xb5es,9
Sun,Liquida\xc3\xa7\xc3\xa3o,1
Sun,Loca\xc3\xa7\xc3\xa3o de Im\xc3\xb3vel,27
Sun,M\xc3\xbatuo,24
Sun,Magist\xc3\xa9rio p\xc3\xbablico da educa\xc3\xa7\xc3\xa3o b\xc3\xa1sica,16
Sun,Mandato,4
Sun,Marca,5
Sun,Meio Ambiente,4
Sun,Militar,1
Sun,Multas e demais San\xc3\xa7\xc3\xb5es,39
Sun,Municipais,14
Sun,"NA",1
Sun,Nomea\xc3\xa7\xc3\xa3o,7
Sun,Nota de Cr\xc3\xa9dito Comercial,1
Sun,Nota Promiss\xc3\xb3ria,11
Sun,NULL,164
Sun,Obriga\xc3\xa7\xc3\xb5es,59
Sun,Oferta,1
Sun,Ordena\xc3\xa7\xc3\xa3o da Cidade,1
Sun,Pagamento,8
Sun,Pagamento Indevido,1
Sun,Parcelamento de Vencimentos,1
Sun,Patente,1
Sun,Peculato,1
Sun,Pens\xc3\xa3o,29
