weekDay,assunto_cnj,count
Sun,Abandono Intelectual,1
Sun,Abandono Material,3
Sun,Abono de Permanência,3
Sun,Acidente de Trabalho,3
Sun,Acidente De Trabalho,1
Sun,Acidente de Trânsito,1
Sun,Adicional de Horas Extras,13
Sun,Adicional de Insalubridade,12
Sun,Adicional de Serviço Noturno,25
Sun,Adicional por Tempo de Serviço,1
Sun,Admissão / Permanência / Despedida,10
Sun,Agentes Políticos,2
Sun,Agrotóxicos,1
Sun,Águas Públicas,3
Sun,Alienação Fiduciária,78
Sun,Alimentos,21
Sun,Ameaça,4
Sun,Anulação,3
Sun,Anulação de Débito Fiscal,7
Sun,Anulação e Correção de Provas / Questões,7
Sun,Aposentadoria,12
Sun,Apropriação indébita,7
Sun,Apuração de haveres,1
Sun,Aquisição,5
Sun,Área de Preservação Permanente,1
Sun,Arrendamento Mercantil,3
Sun,Arrendamento Rural,3
Sun,Associação,1
Sun,Associação para a Produção e Tráfico e Condutas Afins,1
Sun,Atentado Violento ao Pudor,7
Sun,Atividade Política,1
Sun,Ato Infracional,23
Sun,Atos Administrativos,22
Sun,Autofalência,1
Sun,Auxílio-Acidente (Art. 86),8
Sun,Auxílio-Alimentação,83
Sun,Auxílio-Doença Acidentário,11
Sun,Bancários,3
Sun,Bem de Família,2
Sun,Benefícios em Espécie,3
Sun,Cadastro de Análise de Crédito,116
Sun,Calúnia,1
Sun,Capacidade,8
Sun,Cartão de Crédito,2
Sun,Cédula de Crédito Rural,2
Sun,Cédula de Produto Rural,1
Sun,Cheque,15
Sun,Classificação e/ou Preterição,7
Sun,CNH - Carteira Nacional de Habilitação,27
Sun,Cofins,9
Sun,Coisas,1
Sun,Comercialização de dados cadastrais de consumidores,1
Sun,Comodato,2
Sun,Compra e Venda,21
Sun,Compromisso,1
Sun,Concessão,23
Sun,Concessão / Permissão / Autorização,1
Sun,Concurso Público / Edital,19
Sun,Concussão,2
Sun,Condomínio,21
Sun,Condomínio em Edifício,1
Sun,Consórcio,5
Sun,Constrangimento ilegal,1
Sun,Contra a liberdade pessoal,1
Sun,Contra a vida,1
Sun,Contrato Temporário de Mão de Obra L 8.745/1993,3
Sun,Contratos Administrativos,26
Sun,Contratos Bancários,181
Sun,Contratos de Consumo,19
Sun,Contratos de Participacao Financeira,58
Sun,Contravenções Penais,25
Sun,Contribuição Sindical,2
Sun,Contribuições,4
Sun,Contribuições Corporativas,1
Sun,Contribuições de Melhoria,4
Sun,"Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros",4
Sun,Contribuições Previdenciárias,38
Sun,Corretagem,4
Sun,Corrupção ativa,2
Sun,Corrupção passiva,2
Sun,Crédito Presumido,1
Sun,Crédito Tributário,5
Sun,Crimes contra a Fauna,1
Sun,Crimes contra a Flora,3
Sun,Crimes contra as Relações de Consumo,8
Sun,Crimes da Lei de licitações,1
Sun,"Crimes de Lavagem ou Ocultação de Bens, Direitos ou Valores",2
Sun,Crimes de Responsabilidade,1
Sun,Crimes de Tráfico Ilícito e uso indevido de drogas - L 6368,3
Sun,Crimes de Trânsito,29
Sun,Crimes do Sistema Nacional de Armas,30
Sun,Crimes Previstos no Estatuto do Idoso,2
Sun,Curso de Formação,1
Sun,Da Poluição,1
Sun,Dano ao Erário,2
Sun,Dano Qualificado,1
Sun,Decorrente de Violência Doméstica,5
Sun,Demissão ou Exoneração,2
Sun,Desacato,5
Sun,Desapropriação,9
Sun,Desapropriação Indireta,2
Sun,Desapropriação por Interesse Social Comum / L 4.132/1962,1
Sun,Desapropriação por Utilidade Pública / DL 3.365/1941,1
Sun,Desconto em folha de pagamento,2
Sun,Descontos Indevidos,6
Sun,Despesas Condominiais,12
Sun,Diárias e Outras Indenizações,1
Sun,Difamação,2
Sun,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,32
Sun,Direito Autoral,2
Sun,DIREITO CIVIL,34
Sun,DIREITO DA CRIANÇA E DO ADOLESCENTE,34
Sun,Direito de Greve,1
Sun,Direito de Imagem,1
Sun,Direito de Preferência,1
Sun,Direito de Vizinhança,4
Sun,Dissolução,18
Sun,Dívida Ativa não-tributária,20
Sun,Divisão e Demarcação,7
Sun,Do Sistema Nacional de Armas,1
Sun,Doação,2
Sun,Domínio Público,1
Sun,Duplicata,11
Sun,Edital,1
