judgmentDate,type,count
2010-01-03,Agravo de Instrumento,1
2010-01-04,Agravo,3
2010-01-04,Agravo de Instrumento,156
2010-01-04,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,72
2010-01-04,Apela\xc3\xa7\xc3\xa3o Crime,1
2010-01-04,Cautelar Inominada,1
2010-01-04,Conflito de Compet\xc3\xaancia,1
2010-01-04,Embargos de Declara\xc3\xa7\xc3\xa3o,5
2010-01-04,Habeas Corpus,4
2010-01-04,Mandado de Seguran\xc3\xa7a,1
2010-01-04,Reexame Necess\xc3\xa1rio,3
2010-01-05,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,1
2010-01-05,Agravo,5
2010-01-05,Agravo de Instrumento,132
2010-01-05,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,66
2010-01-05,Apela\xc3\xa7\xc3\xa3o Crime,2
2010-01-05,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,4
2010-01-05,Conflito de Compet\xc3\xaancia,3
2010-01-05,Embargos de Declara\xc3\xa7\xc3\xa3o,13
2010-01-05,Embargos Infringentes,1
2010-01-05,Habeas Corpus,2
2010-01-05,Reexame Necess\xc3\xa1rio,2
2010-01-05,Restaura\xc3\xa7\xc3\xa3o de Autos,1
2010-01-06,Agravo,1
2010-01-06,Agravo de Instrumento,175
2010-01-06,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,104
2010-01-06,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,3
2010-01-06,Embargos de Declara\xc3\xa7\xc3\xa3o,13
2010-01-06,Habeas Corpus,5
2010-01-07,Agravo,90
2010-01-07,Agravo de Instrumento,117
2010-01-07,Agravo Regimental,2
2010-01-07,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,99
2010-01-07,Apela\xc3\xa7\xc3\xa3o Crime,1
2010-01-07,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,2
2010-01-07,Cautelar Inominada,1
2010-01-07,Embargos de Declara\xc3\xa7\xc3\xa3o,64
2010-01-07,Habeas Corpus,9
2010-01-08,Agravo,1
2010-01-08,Agravo de Instrumento,220
2010-01-08,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,72
2010-01-08,Apela\xc3\xa7\xc3\xa3o Crime,1
2010-01-08,Embargos de Declara\xc3\xa7\xc3\xa3o,5
2010-01-08,Habeas Corpus,3
2010-01-08,Suspen\xc3\xa7\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,1
2010-01-09,Habeas Corpus,1
2010-01-11,Agravo,7
2010-01-11,Agravo de Instrumento,192
2010-01-11,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,49
2010-01-11,Cautelar Inominada,1
2010-01-11,Embargos de Declara\xc3\xa7\xc3\xa3o,6
2010-01-11,Habeas Corpus,2
2010-01-11,Mandado de Seguran\xc3\xa7a,1
2010-01-11,Reexame Necess\xc3\xa1rio,2
2010-01-12,Agravo,3
2010-01-12,Agravo de Instrumento,278
2010-01-12,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,57
2010-01-12,Apela\xc3\xa7\xc3\xa3o Crime,1
2010-01-12,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,1
2010-01-12,Conflito de Compet\xc3\xaancia,2
2010-01-12,Embargos de Declara\xc3\xa7\xc3\xa3o,14
2010-01-12,Habeas Corpus,1
2010-01-12,Reexame Necess\xc3\xa1rio,1
2010-01-13,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,1
2010-01-13,Agravo,123
2010-01-13,Agravo de Instrumento,347
2010-01-13,Agravo em Execu\xc3\xa7\xc3\xa3o,13
2010-01-13,Agravo Regimental,6
2010-01-13,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,497
2010-01-13,Apela\xc3\xa7\xc3\xa3o Crime,196
2010-01-13,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,27
2010-01-13,Conflito de Compet\xc3\xaancia,10
2010-01-13,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,3
2010-01-13,Correi\xc3\xa7\xc3\xa3o Parcial,2
2010-01-13,Embargos de Declara\xc3\xa7\xc3\xa3o,155
2010-01-13,Habeas Corpus,144
2010-01-13,Mandado de Seguran\xc3\xa7a,1
2010-01-13,Recurso em Sentido Estrito,9
2010-01-13,Reexame Necess\xc3\xa1rio,5
2010-01-13,Suspen\xc3\xa7\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,1
2010-01-14,Agravo,118
2010-01-14,Agravo de Instrumento,228
2010-01-14,Agravo em Execu\xc3\xa7\xc3\xa3o,15
2010-01-14,Agravo Regimental,1
2010-01-14,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,630
2010-01-14,Apela\xc3\xa7\xc3\xa3o Crime,90
2010-01-14,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,12
2010-01-14,Conflito de Compet\xc3\xaancia,4
2010-01-14,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,5
2010-01-14,Correi\xc3\xa7\xc3\xa3o Parcial,7
2010-01-14,Embargos de Declara\xc3\xa7\xc3\xa3o,128
2010-01-14,Habeas Corpus,173
2010-01-14,Mandado de Seguran\xc3\xa7a,8
2010-01-14,Peti\xc3\xa7\xc3\xa3o,1
