weekDay,type,count
Sun,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,7
Sun,Agravo,35
Sun,Agravo de Instrumento,2851
Sun,Agravo Regimental,3
Sun,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,2051
Sun,Apela\xc3\xa7\xc3\xa3o Crime,18
Sun,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,310
Sun,Cautelar Inominada,1
Sun,Conflito de Compet\xc3\xaancia,59
Sun,Correi\xc3\xa7\xc3\xa3o Parcial,4
Sun,Embargos de Declara\xc3\xa7\xc3\xa3o,221
Sun,Embargos Infringentes e de Nulidade,2
Sun,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,2
Sun,Habeas Corpus,47
Sun,Impugna\xc3\xa7\xc3\xa3o \xc3\xa0 Assist\xc3\xaancia Judici\xc3\xa1ria,1
Sun,Incidente de Uniformizacao Jurisprudencia,3
Sun,Mandado de Injun\xc3\xa7\xc3\xa3o,15
Sun,Mandado de Seguran\xc3\xa7a,24
Sun,Peti\xc3\xa7\xc3\xa3o,1
Sun,Reclama\xc3\xa7\xc3\xa3o,4
Sun,Recurso C\xc3\xadvel,86
Sun,Recurso em Sentido Estrito,1
Sun,Recurso Especial,637
Sun,Recurso Especial e ou Extraordin\xc3\xa1rio,158
Sun,Recurso Extraordin\xc3\xa1rio,144
Sun,Reexame Necess\xc3\xa1rio,100
Sun,Revis\xc3\xa3o Criminal,14
Sun,Uniformiza\xc3\xa7\xc3\xa3o de Jurisprud\xc3\xaancia,1
Mon,A\xc3\xa7\xc3\xa3o Direta de Inconstitucionalidade,1242
Mon,A\xc3\xa7\xc3\xa3o Penal,22
Mon,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,348
Mon,Agravo,2531
Mon,Agravo de Instrumento,108701
Mon,Agravo em Execu\xc3\xa7\xc3\xa3o,1
Mon,Agravo em Rec,1
Mon,Agravo Interno,16
Mon,Agravo Regimental,595
Mon,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,56641
Mon,Apela\xc3\xa7\xc3\xa3o Crime,1493
Mon,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,5158
Mon,Carta Testemunh\xc3\xa1vel,11
Mon,Cautelar Inominada,42
Mon,Conflito de Compet\xc3\xaancia,2947
Mon,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,66
Mon,Correi\xc3\xa7\xc3\xa3o Parcial,546
Mon,Crime Responsabilidade Funcion\xc3\xa1rio Publico,1
Mon,Crimes contra a honra,6
Mon,Cumprimento de Senten\xc3\xa7a,4
Mon,Declarat\xc3\xb3ria de Constitucionalidade,1
Mon,Desaforamento,1
Mon,Embargos de Declara\xc3\xa7\xc3\xa3o,12790
Mon,Embargos Infringentes,53
Mon,Embargos Infringentes e de Nulidade,17
Mon,Exce\xc3\xa7\xc3\xa3o da Verdade,1
Mon,Exce\xc3\xa7\xc3\xa3o de Impedimento,2
Mon,Exce\xc3\xa7\xc3\xa3o de Incompet\xc3\xaancia,2
Mon,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,62
Mon,Exce\xc3\xa7\xc3\xa3o Suspei\xc3\xa7\xc3\xa3o Impedimento,1
Mon,Habeas Corpus,3685
Mon,Habeas Data,1
Mon,Impugna\xc3\xa7\xc3\xa3o \xc3\xa0 Assist\xc3\xaancia Judici\xc3\xa1ria,2
Mon,Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa,3
Mon,Incidente de Assun\xc3\xa7\xc3\xa3o de Compet\xc3\xaancia,1
Mon,Incidente de Falsidade,1
Mon,Incidente de Inconstitucionalidade,92
Mon,Incidente de Resolucao de Demandas Repetitiva,12
