weekDay,tipo_processo,count
Sun,Ação Rescisória,11
Sun,Agravo,29
Sun,Agravo de Instrumento,1739
Sun,Agravo Interno,2
Sun,Agravo Regimental,1
Sun,Apelação / Remessa Necessária,1
Sun,Apelação Cível,1410
Sun,Apelação e Reexame Necessário,247
Sun,Apelação-Crime,1
Sun,Cautelar Inominada,1
Sun,Conflito de competência,3
Sun,Conflito de Competência,57
Sun,Correição Parcial,2
Sun,Embargos de Declaração,226
Sun,Embargos de Declaração Cível,27
Sun,Embargos Infringentes e de Nulidade,3
Sun,Habeas Corpus,14
Sun,Habeas Corpus Criminal,13
Sun,Impugnação à Assistência Judiciária,1
Sun,Incidente de Uniformizacao Jurisprudencia,123
Sun,Mandado de Injunção,16
Sun,Mandado de Segurança,25
Sun,Mandado de Segurança Cível,3
Sun,Medidas Cautelares,1
Sun,Petição,1
Sun,Reclamação,5
Sun,Recurso Cível,102
Sun,Recurso Especial,1189
Sun,Recurso Especial e ou Extraordinário,353
Sun,Recurso Extraordinário,923
Sun,Reexame Necessário,88
Sun,Remessa Necessária Cível,3
Sun,Revisão Criminal,14
Sun,Uniformização de Jurisprudência,1
Mon,Ação Civil Pública,1
Mon,Ação Direta de Inconstitucionalidade,965
Mon,Ação Penal - Procedimento Ordinário,2
Mon,Ação Penal - Procedimento Sumário,2
Mon,Ação Rescisória,298
Mon,Agravo,2460
Mon,Agravo de Execução Penal,13
Mon,Agravo de Instrumento,62887
Mon,Agravo Interno,227
Mon,Agravo Regimental,481
Mon,Agravo Regimental Cível,10
Mon,Agravo Regimental Criminal,7
Mon,Apelação / Remessa Necessária,86
Mon,Apelação Cível,36966
Mon,Apelação Criminal,573
Mon,Apelação e Reexame Necessário,4222
Mon,Apelação-Crime,276
Mon,Carta Testemunhável,7
Mon,Cautelar Inominada,14
Mon,Conflito de competência,127
Mon,Conflito de Competência,2491
Mon,Conflito de Jurisdição,53
Mon,Correição Parcial,199
Mon,Correição Parcial Cível,9
Mon,Correição Parcial Criminal,34
Mon,Crimes contra a honra,4
Mon,Cumprimento de Sentença,4
Mon,Declaratória de Constitucionalidade,2
Mon,Desaforamento,1
Mon,Direta de Inconstitucionalidade,59
Mon,Embargos de Declaração,9461
Mon,Embargos de Declaração Cível,1011
Mon,Embargos de Declaração Criminal,82
Mon,Embargos Infringentes,16
Mon,Embargos Infringentes e de Nulidade,36
Mon,Exceção de Impedimento,2
Mon,Exceção de Incompetência,2
Mon,Exceção de Suspeição,34
Mon,Habeas Corpus,3137
Mon,Habeas Corpus Cível,38
Mon,Habeas Corpus Criminal,838
Mon,Habeas Data,2
Mon,Impugnação à Assistência Judiciária,1
Mon,Impugnação ao Valor da Causa,1
Mon,Incidente de Arguição de Inconstitucionalidade Cível,4
Mon,Incidente de Assunção de Competência,1
Mon,Incidente de Falsidade,1
Mon,Incidente de Inconstitucionalidade,68
Mon,Incidente de Resolucao de Demandas Repetitiva,25
Mon,Incidente de Resolução de Demandas Repetitivas,4
Mon,Incidente de Uniformizacao Jurisprudencia,489
Mon,Inquérito Policial,8
Mon,Intervenção em Município,2
Mon,Intervenção no Estado,2
Mon,Investigação Contra Magistrado,5
Mon,Mandado de Injunção,820
Mon,Mandado de Segurança,2033
Mon,Mandado de Segurança Cível,205
Mon,Mandado de Segurança Coletivo,9
Mon,Mandado de Segurança Crime,80
Mon,Mandado de Segurança Criminal,23
Mon,Medida Cautelar Inominada,7
Mon,Medidas Cautelares,1
Mon,Notícia Crime,1
Mon,Pedido de Assistência Judiciária Gratuita,2
Mon,Petição,96
Mon,Petição Cível,12
Mon,Petição Criminal,1
Mon,Reclamação,222
Mon,Recurso Cível,11662
Mon,Recurso Crime,6479
Mon,Recurso de Ofício,5
Mon,Recurso em Sentido Estrito,160
Mon,Recurso Especial,27530
Mon,Recurso Especial e ou Extraordinário,4973
Mon,Recurso Extraordinário,6543
Mon,Reexame Necessário,2089
Mon,Remessa Necessária Cível,65
Mon,Representação Criminal,48
Mon,Representação Criminal / Notícia de Crime,6
Mon,Restauração de Autos,7
Mon,Revisão Criminal,196
Mon,Suspensão de Execução de Sentença,1
Mon,Suspensão de Liminar ou Antecipação de Tutela,4
Mon,Termo Circunstanciado,4
Mon,Tutela Antecipada Antecedente,5
Mon,Tutela Cautelar Antecedente,4
Mon,Tutela Provisoria,2
Tue,Ação Direta de Inconstitucionalidade,49
Tue,Ação Penal - Procedimento Ordinário,3
Tue,Ação Penal - Procedimento Sumário,1
Tue,Ação Penal de Competencia Juri,1
Tue,Ação Rescisória,806
Tue,Agravo,14123
Tue,Agravo de Execução Penal,108
Tue,Agravo de Instrumento,132553
Tue,Agravo Interno,1040
Tue,Agravo Regimental,651
Tue,Agravo Regimental Cível,4
Tue,Agravo Regimental Criminal,8
Tue,Apelação / Remessa Necessária,251
Tue,Apelação Cível,100835
Tue,Apelação Criminal,654
Tue,Apelação e Reexame Necessário,20661
Tue,Apelação-Crime,2304
Tue,Carta Testemunhável,7
Tue,Cautelar Inominada,18
Tue,Conflito de competência,132
Tue,Conflito de Competência,2935
Tue,Conflito de Jurisdição,122
Tue,Correição Parcial,193
Tue,Correição Parcial Cível,9
Tue,Correição Parcial Criminal,19
Tue,Crimes contra a honra,5
Tue,Cumprimento de Sentença,2
Tue,Declaratória de Constitucionalidade,1
Tue,Desaforamento,2
Tue,Direta de Inconstitucionalidade,7
Tue,Embargos de Declaração,63010
Tue,Embargos de Declaração Cível,3653
Tue,Embargos de Declaração Criminal,60
Tue,Embargos Infringentes,400
Tue,Embargos Infringentes e de Nulidade,52
Tue,Exceção de Impedimento,2
Tue,Exceção de Incompetência,2
Tue,Exceção de Suspeição,53
Tue,Habeas Corpus,4085
Tue,Habeas Corpus Cível,55
Tue,Habeas Corpus Criminal,593
Tue,Habeas Data,2
Tue,Impugnação ao Cumprimento de Sentença,1
Tue,Impugnação ao Valor da Causa,4
Tue,Incidente de Arguição de Inconstitucionalidade Cível,3
Tue,Incidente de Falsidade,1
Tue,Incidente de Inconstitucionalidade,4
Tue,Incidente de Resolucao de Demandas Repetitiva,5
Tue,Incidente de Resolução de Demandas Repetitivas,6
Tue,Incidente de Uniformizacao Jurisprudencia,291
Tue,Inquérito Policial,3
Tue,Intervenção em Município,1
Tue,Mandado de Injunção,400
Tue,Mandado de Segurança,1670
Tue,Mandado de Segurança Cível,144
Tue,Mandado de Segurança Coletivo,6
Tue,Mandado de Segurança Criminal,17
Tue,Medida Cautelar,5
Tue,Medida Cautelar Inominada,13
