yearMonth,count
2010-01-01,22982
2010-02-01,20864
2010-03-01,43883
2010-04-01,38889
2010-05-01,44821
2010-06-01,37571
2010-07-01,39317
2010-08-01,40314
2010-09-01,38927
2010-10-01,38610
2010-11-01,39392
2010-12-01,34991
2011-01-01,20010
2011-02-01,27162
2011-03-01,37795
2011-04-01,36449
2011-05-01,38173
2011-06-01,42342
2011-07-01,35974
2011-08-01,44597
2011-09-01,40687
2011-10-01,37855
2011-11-01,37043
2011-12-01,34255
2012-01-01,17173
2012-02-01,24373
2012-03-01,42825
2012-04-01,37704
2012-05-01,45831
2012-06-01,40870
2012-07-01,32243
2012-08-01,45656
2012-09-01,34618
2012-10-01,43379
2012-11-01,37585
2012-12-01,32612
2013-01-01,16343
2013-02-01,21962
2013-03-01,38792
2013-04-01,39893
2013-05-01,38117
2013-06-01,39811
2013-07-01,31737
2013-08-01,41841
2013-09-01,36519
2013-10-01,43293
2013-11-01,38288
2013-12-01,31896
2014-01-01,16136
2014-02-01,22415
2014-03-01,33838
2014-04-01,36927
2014-05-01,36900
2014-06-01,26766
2014-07-01,35550
2014-08-01,40608
2014-09-01,38130
2014-10-01,42740
2014-11-01,37506
2014-12-01,37183
2015-01-01,17096
2015-02-01,29100
2015-03-01,41133
2015-04-01,39881
2015-05-01,33891
2015-06-01,36962
2015-07-01,36145
2015-08-01,38498
2015-09-01,38599
2015-10-01,21560
2015-11-01,44918
2015-12-01,31096
2016-01-01,13455
2016-02-01,23148
2016-03-01,35486
2016-04-01,29451
2016-05-01,32326
2016-06-01,43092
2016-07-01,37561
2016-08-01,42904
2016-09-01,38194
2016-10-01,38019
2016-11-01,37958
2016-12-01,31796
2017-01-01,8626
2017-02-01,27212
2017-03-01,44352
2017-04-01,32129
2017-05-01,36362
2017-06-01,33478
2017-07-01,33534
2017-08-01,41154
2017-09-01,32806
2017-10-01,37405
2017-11-01,36977
2017-12-01,28945
