yearMonth,count
2003-08-01,1
2008-02-01,1
2008-09-01,1
2009-09-01,1
2009-10-01,1
2010-02-01,1
2010-03-01,1
2010-04-01,2
2010-05-01,1
2010-06-01,1
2010-08-01,1
2010-09-01,2
2010-12-01,2
2011-03-01,3
2011-05-01,1
2011-06-01,3
2011-07-01,1
2011-08-01,4
2011-09-01,2
2011-10-01,2
2011-11-01,1
2011-12-01,4
2012-01-01,6
2012-02-01,7
2012-03-01,11
2012-04-01,9
2012-05-01,21
2012-06-01,24
2012-07-01,8
2012-08-01,66
2012-09-01,80
2012-10-01,359
2012-11-01,2103
2012-12-01,24506
2013-01-01,16659
2013-02-01,27046
2013-03-01,46640
2013-04-01,47400
2013-05-01,40589
2013-06-01,46273
2013-07-01,32337
2013-08-01,46543
2013-09-01,39447
2013-10-01,47271
2013-11-01,39817
2013-12-01,36830
2014-01-01,16215
2014-02-01,23922
2014-03-01,36277
2014-04-01,40082
2014-05-01,39372
2014-06-01,30991
2014-07-01,35098
2014-08-01,45267
2014-09-01,40975
2014-10-01,45533
2014-11-01,40720
2014-12-01,47948
2015-01-01,16364
2015-02-01,31662
2015-03-01,47559
2015-04-01,44241
2015-05-01,37264
2015-06-01,43500
2015-07-01,38143
2015-08-01,46329
2015-09-01,41526
2015-10-01,21333
2015-11-01,49899
2015-12-01,38895
2016-01-01,12876
2016-02-01,25791
2016-03-01,37868
2016-04-01,33723
2016-05-01,34103
2016-06-01,50065
2016-07-01,37710
2016-08-01,51565
2016-09-01,42513
2016-10-01,44300
2016-11-01,41699
2016-12-01,38211
2017-01-01,7703
2017-02-01,27103
2017-03-01,53745
2017-04-01,35095
2017-05-01,37631
2017-06-01,37715
2017-07-01,34506
2017-08-01,44170
2017-09-01,36262
2017-10-01,39123
2017-11-01,36439
2017-12-01,29704
2018-01-01,9518
2018-02-01,25726
2018-03-01,42924
2018-04-01,35223
2018-05-01,35507
2018-06-01,34108
2018-07-01,30489
2018-08-01,41812
2018-09-01,34672
2018-10-01,39240
2018-11-01,36467
2018-12-01,31615
2019-01-01,10129
2019-02-01,28815
2019-03-01,41325
2019-04-01,36331
2019-05-01,36296
2019-06-01,33662
2019-07-01,31491
2019-08-01,43071
2019-09-01,33158
2019-10-01,37616
2019-11-01,30441
2019-12-01,27980
2020-01-01,8826
2020-02-01,19142
2020-03-01,7174
2020-04-01,3884
