yearMonth,subject,count
2010-01-01,\xc3\x81guas P\xc3\xbablicas,6
2010-01-01,1,149
2010-01-01,Abandono Material,5
2010-01-01,Aborto provocado por terceiro,1
2010-01-01,Abuso Sexual,1
2010-01-01,Acidente de Tr\xc3\xa2nsito,29
2010-01-01,Acidente de Trabalho,16
2010-01-01,Acidente De Trabalho,5
2010-01-01,Acumula\xc3\xa7\xc3\xa3o de Cargos,2
2010-01-01,Adicional de Horas Extras,10
2010-01-01,Adicional de Insalubridade,23
2010-01-01,Adicional de Periculosidade,1
2010-01-01,Adjudica\xc3\xa7\xc3\xa3o Compuls\xc3\xb3ria,3
2010-01-01,Administra\xc3\xa7\xc3\xa3o de Heran\xc3\xa7a,1
2010-01-01,Ado\xc3\xa7\xc3\xa3o de Crian\xc3\xa7a,1
2010-01-01,Adultera\xc3\xa7\xc3\xa3o de Sinal Identificador de Ve\xc3\xadculo Automotor,6
2010-01-01,Agrot\xc3\xb3xicos,1
2010-01-01,Aliena\xc3\xa7\xc3\xa3o Fiduci\xc3\xa1ria,2697
2010-01-01,Alimentos,150
2010-01-01,Amea\xc3\xa7a,17
2010-01-01,Anticrese,1
2010-01-01,Anula\xc3\xa7\xc3\xa3o,3
2010-01-01,Anula\xc3\xa7\xc3\xa3o e Corre\xc3\xa7\xc3\xa3o de Provas,2
2010-01-01,Aposentadoria,8
2010-01-01,Aposentadoria Especial,1
2010-01-01,Aposentadoria por Idade,2
2010-01-01,Aposentadoria por Invalidez,3
2010-01-01,Aposentadoria por Invalidez Acident\xc3\xa1ria,4
2010-01-01,Apreens\xc3\xa3o,1
2010-01-01,Apropria\xc3\xa7\xc3\xa3o ind\xc3\xa9bita,17
2010-01-01,Apropria\xc3\xa7\xc3\xa3o ind\xc3\xa9bita Previdenci\xc3\xa1ria,1
2010-01-01,Aquisi\xc3\xa7\xc3\xa3o,1
2010-01-01,Arrendamento Mercantil,433
2010-01-01,Arrendamento Rural,16
2010-01-01,Assist\xc3\xaancia \xc3\xa0 Sa\xc3\xbade,1
2010-01-01,Associa\xc3\xa7\xc3\xa3o para a Produ\xc3\xa7\xc3\xa3o e Tr\xc3\xa1fico e Condutas Afins,1
2010-01-01,Atentado Violento ao Pudor,51
2010-01-01,Ato Infracional,31
2010-01-01,Atos Administrativos,7
2010-01-01,Atraso de v\xc3\xb4o,1
2010-01-01,Autofal\xc3\xaancia,2
2010-01-01,Aux\xc3\xadlio,1182
2010-01-01,Banc\xc3\xa1rios,518
2010-01-01,Bem de Fam\xc3\xadlia,5
2010-01-01,Benef\xc3\xadcio Assistencial,1
2010-01-01,Benef\xc3\xadcios em Esp\xc3\xa9cie,11
2010-01-01,Busca e Apreens\xc3\xa3o de Menores,4
2010-01-01,C\xc3\xa2mbio,1
2010-01-01,C\xc3\xa9dula de Cr\xc3\xa9dito Banc\xc3\xa1rio,1
2010-01-01,C\xc3\xa9dula de Cr\xc3\xa9dito Rural,11
2010-01-01,C\xc3\xa9dula de Produto Rural,2
2010-01-01,C\xc3\xa9dula Hipotec\xc3\xa1ria,1
2010-01-01,Cal\xc3\xbania,5
2010-01-01,Cancelamento de Protesto,1
2010-01-01,Cancelamento de v\xc3\xb4o,2
2010-01-01,Capacidade,17
2010-01-01,Cart\xc3\xa3o de Cr\xc3\xa9dito,109
2010-01-01,Casa de Prostitui\xc3\xa7\xc3\xa3o,2
2010-01-01,Casamento,3
2010-01-01,Cheque,64
2010-01-01,Classifica\xc3\xa7\xc3\xa3o e,5
2010-01-01,CNH,4
2010-01-01,Coa\xc3\xa7\xc3\xa3o no curso do processo,4
2010-01-01,Cofins,392
2010-01-01,Coisas,1
2010-01-01,Comodato,3
2010-01-01,Compra e Venda,57
2010-01-01,Compromisso,1
2010-01-01,Concess\xc3\xa3o,8
2010-01-01,Concurso de Credores,1
2010-01-01,Concurso P\xc3\xbablico,25
2010-01-01,Concuss\xc3\xa3o,6
2010-01-01,Condom\xc3\xadnio,16
2010-01-01,Condom\xc3\xadnio em Edif\xc3\xadcio,16
2010-01-01,Cons\xc3\xb3rcio,44
2010-01-01,Contra a vida,1
2010-01-01,Contra o Patrim\xc3\xb4nio,1
2010-01-01,Contrato Tempor\xc3\xa1rio de M\xc3\xa3o de Obra L 8,1
2010-01-01,Contratos Administrativos,8
2010-01-01,Contratos Banc\xc3\xa1rios,611
2010-01-01,Contratos de Consumo,54
2010-01-01,Contratos de Participacao Financeira,1343
2010-01-01,Contraven\xc3\xa7\xc3\xb5es Penais,4
2010-01-01,Contribui\xc3\xa7\xc3\xa3o de Ilumina\xc3\xa7\xc3\xa3o P\xc3\xbablica,1
2010-01-01,Contribui\xc3\xa7\xc3\xa3o Sindical,2
2010-01-01,Contribui\xc3\xa7\xc3\xb5es,4
2010-01-01,Contribui\xc3\xa7\xc3\xb5es de Melhoria,7
2010-01-01,Contribui\xc3\xa7\xc3\xb5es Previdenci\xc3\xa1rias,425
2010-01-01,Contribui\xc3\xa7\xc3\xb5es Sociais,39
2010-01-01,Controle de Constitucionalidade,7
2010-01-01,Conv\xc3\xaanio,1
2010-01-01,Corretagem,3
2010-01-01,Corrup\xc3\xa7\xc3\xa3o ativa,4
2010-01-01,Corrup\xc3\xa7\xc3\xa3o de Menores,2
2010-01-01,Corrup\xc3\xa7\xc3\xa3o passiva,1
2010-01-01,CORRUPCAO DE MENORES,1
2010-01-01,Cr\xc3\xa9dito Rural,1
2010-01-01,Crime contra o P\xc3\xa1trio,4
2010-01-01,Crimes contra a Fauna,2
2010-01-01,Crimes contra a Flora,3
2010-01-01,Crimes contra as Rela\xc3\xa7\xc3\xb5es de Consumo,13
2010-01-01,Crimes contra o Patrim\xc3\xb4nio,3
2010-01-01,Crimes contra os Costumes,5
2010-01-01,Crimes da Lei de licita\xc3\xa7\xc3\xb5es,1
2010-01-01,Crimes de Imprensa,1
2010-01-01,Crimes de Responsabilidade,1
2010-01-01,Crimes de Tortura,1
2010-01-01,Crimes de Tr\xc3\xa1fico Il\xc3\xadcito e uso indevido de drogas,46
