yearMonth,assunto_cnj,count
2003-08-01,NA,1
2008-02-01,NA,1
2008-09-01,NA,1
2009-09-01,Contratos Bancários,1
2009-10-01,IPTU/ Imposto Predial e Territorial Urbano,1
2010-02-01,ICMS/ Imposto sobre Circulação de Mercadorias,1
2010-03-01,IPTU/ Imposto Predial e Territorial Urbano,1
2010-04-01,IPTU/ Imposto Predial e Territorial Urbano,1
2010-04-01,Multas e demais Sanções,1
2010-05-01,Multas e demais Sanções,1
2010-06-01,Licenças,1
2010-08-01,Restabelecimento,1
2010-09-01,Homicídio Qualificado,1
2010-09-01,Impostos,1
2010-12-01,Crimes de Trânsito,1
2010-12-01,ICMS/ Imposto sobre Circulação de Mercadorias,1
2011-03-01,Atentado Violento ao Pudor,1
2011-03-01,Fornecimento de Energia Elétrica,1
2011-03-01,Obrigações,1
2011-05-01,Mútuo,1
2011-06-01,Impostos,1
2011-06-01,Indenização por Dano Moral,1
2011-06-01,Pensão,1
2011-07-01,Improbidade Administrativa,1
2011-08-01,Crimes de Tráfico Ilícito e uso indevido de drogas - L 6368,1
2011-08-01,Improbidade Administrativa,1
2011-08-01,Licitações,1
2011-08-01,Violação aos Princípios Administrativos,1
2011-09-01,Benefícios em Espécie,1
2011-09-01,Contratos Administrativos,1
2011-10-01,Contratos de Participacao Financeira,1
2011-10-01,Infração Administrativa,1
2011-11-01,Fornecimento de Energia Elétrica,1
2011-12-01,Contratos Administrativos,1
2011-12-01,Contribuições Previdenciárias,1
2011-12-01,IPTU/ Imposto Predial e Territorial Urbano,1
2011-12-01,Pensão por Morte (Art. 74/9),1
2012-01-01,Auxílio-Doença Acidentário,1
2012-01-01,Calúnia,1
2012-01-01,Estupro de vulnerável,1
2012-01-01,Homicídio Simples,1
2012-01-01,Roubo Majorado,2
2012-02-01,Dissolução,1
2012-02-01,Estupro,1
2012-02-01,ICMS/ Imposto sobre Circulação de Mercadorias,4
2012-02-01,Indenização por Dano Moral,1
2012-03-01,Estupro,1
2012-03-01,Homicídio Qualificado,1
2012-03-01,ICMS/ Imposto sobre Circulação de Mercadorias,2
2012-03-01,Impostos,1
2012-03-01,Indenização por Dano Moral,1
2012-03-01,IPTU/ Imposto Predial e Territorial Urbano,1
2012-03-01,IPVA - Imposto Sobre Propriedade de Veículos Automotores,1
2012-03-01,Irredutibilidade de Vencimentos,1
2012-03-01,ISS/ Imposto sobre Serviços,1
2012-03-01,NA,1
2012-04-01,Alimentos,1
2012-04-01,DIREITO DO CONSUMIDOR,1
2012-04-01,Estaduais,1
2012-04-01,Fornecimento de Água,1
2012-04-01,ICMS/ Imposto sobre Circulação de Mercadorias,3
2012-04-01,IPTU/ Imposto Predial e Territorial Urbano,1
2012-04-01,Tráfico de Drogas e Condutas Afins,1
2012-05-01,Comodato,1
2012-05-01,Fornecimento de Água,2
2012-05-01,Homicídio Qualificado,1
2012-05-01,ICMS/ Imposto sobre Circulação de Mercadorias,2
2012-05-01,Impostos,2
2012-05-01,IPVA - Imposto Sobre Propriedade de Veículos Automotores,1
2012-05-01,ISS/ Imposto sobre Serviços,1
2012-05-01,Latrocínio,1
2012-05-01,Liberação de Veículo Apreendido,1
2012-05-01,Promessa de Compra e Venda,2
2012-05-01,Roubo Majorado,2
2012-05-01,Tráfico de Drogas e Condutas Afins,1
2012-05-01,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,1
2012-05-01,NA,3
2012-06-01,Atentado Violento ao Pudor,2
2012-06-01,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1
2012-06-01,Fornecimento de Água,1
2012-06-01,Fornecimento de Energia Elétrica,1
2012-06-01,Furto,2
2012-06-01,Furto Qualificado,3
2012-06-01,Homicídio Qualificado,2
2012-06-01,ICMS/ Imposto sobre Circulação de Mercadorias,5
2012-06-01,ISS/ Imposto sobre Serviços,1
2012-06-01,Roubo Majorado,2
2012-06-01,Seguro,1
2012-06-01,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,2
2012-06-01,NA,1
2012-07-01,CNH - Carteira Nacional de Habilitação,1
2012-07-01,Duplicata,1
2012-07-01,Fornecimento de Energia Elétrica,1
