yearMonth,type,count
2000-01-01,Agravo de Instrumento,12
2000-02-01,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,1
2000-02-01,Agravo,4
2000-02-01,Agravo de Instrumento,35
2000-02-01,Agravo Regimental,2
2000-02-01,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,151
2000-02-01,Apela\xc3\xa7\xc3\xa3o Crime,1
2000-02-01,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,25
2000-02-01,Embargos de Declara\xc3\xa7\xc3\xa3o,2
2000-02-01,Reexame Necess\xc3\xa1rio,1
2000-03-01,Agravo,17
2000-03-01,Agravo de Instrumento,93
2000-03-01,Agravo Interno,3
2000-03-01,Agravo Regimental,6
2000-03-01,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,279
2000-03-01,Apela\xc3\xa7\xc3\xa3o Crime,5
2000-03-01,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,119
2000-03-01,Conflito de Compet\xc3\xaancia,2
2000-03-01,Embargos de Declara\xc3\xa7\xc3\xa3o,30
2000-03-01,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,1
2000-03-01,Reexame Necess\xc3\xa1rio,21
2000-04-01,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,2
2000-04-01,Agravo,18
2000-04-01,Agravo de Instrumento,145
2000-04-01,Agravo Regimental,8
2000-04-01,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,343
2000-04-01,Apela\xc3\xa7\xc3\xa3o Crime,3
2000-04-01,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,89
2000-04-01,Embargos de Declara\xc3\xa7\xc3\xa3o,19
2000-04-01,Habeas Corpus,2
2000-04-01,Mandado de Seguran\xc3\xa7a,3
2000-04-01,Outros Feitos,1
2000-04-01,Reexame Necess\xc3\xa1rio,14
2000-05-01,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,2
2000-05-01,Agravo,11
2000-05-01,Agravo de Instrumento,319
2000-05-01,Agravo Interno,4
2000-05-01,Agravo Regimental,5
2000-05-01,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,596
2000-05-01,Apela\xc3\xa7\xc3\xa3o Crime,7
2000-05-01,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,53
2000-05-01,Conflito de Compet\xc3\xaancia,1
2000-05-01,Embargos de Declara\xc3\xa7\xc3\xa3o,78
2000-05-01,Habeas Corpus,3
2000-05-01,Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa,1
2000-05-01,Mandado de Seguran\xc3\xa7a,1
2000-05-01,Medida Cautelar,1
2000-05-01,Reexame Necess\xc3\xa1rio,16
2000-06-01,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,3
2000-06-01,Agravo,58
2000-06-01,Agravo de Instrumento,411
2000-06-01,Agravo Interno,27
2000-06-01,Agravo Regimental,10
2000-06-01,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,1170
2000-06-01,Apela\xc3\xa7\xc3\xa3o Crime,45
2000-06-01,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,157
2000-06-01,Conflito de Compet\xc3\xaancia,4
2000-06-01,Embargos de Declara\xc3\xa7\xc3\xa3o,362
2000-06-01,Habeas Corpus,26
2000-06-01,Mandado de Seguran\xc3\xa7a,3
2000-06-01,Medida Cautelar Inominada,1
2000-06-01,Outros Feitos,2
