yearMonth,tipo_processo,count
2003-08-01,Apelação e Reexame Necessário,1
2008-02-01,Habeas Corpus,1
2008-09-01,Apelação Cível,1
2009-09-01,Apelação Cível,1
2009-10-01,Apelação e Reexame Necessário,1
2010-02-01,Agravo de Instrumento,1
2010-03-01,Apelação Cível,1
2010-04-01,Apelação Cível,2
2010-05-01,Apelação Cível,1
2010-06-01,Apelação e Reexame Necessário,1
2010-08-01,Apelação Cível,1
2010-09-01,Apelação Cível,1
2010-09-01,Habeas Corpus,1
2010-12-01,Embargos de Declaração,1
2010-12-01,Habeas Corpus,1
2011-03-01,Apelação Cível,2
2011-03-01,Correição Parcial,1
2011-05-01,Apelação Cível,1
2011-06-01,Apelação Cível,2
2011-06-01,Apelação e Reexame Necessário,1
2011-07-01,Apelação Cível,1
2011-08-01,Agravo,1
2011-08-01,Agravo de Instrumento,1
2011-08-01,Apelação Cível,2
2011-09-01,Apelação Cível,2
2011-10-01,Apelação Cível,1
2011-10-01,Embargos de Declaração,1
2011-11-01,Apelação Cível,1
2011-12-01,Apelação Cível,3
2011-12-01,Embargos de Declaração,1
2012-01-01,Apelação-Crime,3
2012-01-01,Embargos Infringentes,1
2012-01-01,Habeas Corpus,2
2012-02-01,Agravo de Instrumento,3
2012-02-01,Apelação Cível,2
2012-02-01,Apelação-Crime,1
2012-02-01,Embargos de Declaração,1
2012-03-01,Agravo,1
2012-03-01,Agravo de Instrumento,2
2012-03-01,Apelação Cível,5
2012-03-01,Apelação e Reexame Necessário,1
2012-03-01,Embargos de Declaração,1
2012-03-01,Habeas Corpus,1
2012-04-01,Agravo de Instrumento,3
2012-04-01,Apelação Cível,5
2012-04-01,Habeas Corpus,1
2012-05-01,Agravo,4
2012-05-01,Agravo de Instrumento,2
2012-05-01,Apelação Cível,10
2012-05-01,Apelação e Reexame Necessário,1
2012-05-01,Conflito de Jurisdição,1
2012-05-01,Embargos de Declaração,1
2012-05-01,Recurso Cível,2
2012-06-01,Agravo,7
2012-06-01,Agravo de Instrumento,3
2012-06-01,Apelação Cível,5
2012-06-01,Apelação e Reexame Necessário,2
2012-06-01,Apelação-Crime,3
2012-06-01,Embargos de Declaração,2
2012-06-01,Habeas Corpus,2
2012-07-01,Ação Rescisória,1
2012-07-01,Apelação Cível,7
2012-08-01,Agravo,24
2012-08-01,Agravo de Instrumento,9
2012-08-01,Apelação Cível,24
2012-08-01,Apelação-Crime,2
2012-08-01,Embargos de Declaração,1
2012-08-01,Habeas Corpus,2
2012-08-01,Recurso em Sentido Estrito,2
2012-08-01,Reexame Necessário,1
2012-08-01,Revisão Criminal,1
2012-09-01,Agravo,24
2012-09-01,Agravo de Instrumento,6
2012-09-01,Apelação Cível,23
2012-09-01,Apelação e Reexame Necessário,3
2012-09-01,Apelação-Crime,6
2012-09-01,Conflito de Competência,1
2012-09-01,Embargos de Declaração,6
2012-09-01,Embargos Infringentes e de Nulidade,8
2012-09-01,Habeas Corpus,2
2012-09-01,Recurso em Sentido Estrito,1
2012-10-01,Ação Rescisória,1
2012-10-01,Agravo,132
2012-10-01,Agravo de Instrumento,45
2012-10-01,Agravo em Execução,5
2012-10-01,Agravo Regimental,1
2012-10-01,Apelação Cível,79
2012-10-01,Apelação e Reexame Necessário,5
2012-10-01,Apelação-Crime,25
2012-10-01,Conflito de Competência,4
2012-10-01,Correição Parcial,12
2012-10-01,Embargos de Declaração,14
2012-10-01,Embargos Infringentes e de Nulidade,4
2012-10-01,Habeas Corpus,11
2012-10-01,Incidente de Uniformizacao Jurisprudencia,1
2012-10-01,Mandado de Injunção,1
2012-10-01,Mandado de Segurança,2
2012-10-01,Recurso em Sentido Estrito,4
2012-10-01,Reexame Necessário,13
2012-11-01,Ação Direta de Inconstitucionalidade,3
2012-11-01,Ação Rescisória,2
2012-11-01,Agravo,253
2012-11-01,Agravo de Instrumento,312
2012-11-01,Agravo em Execução,1
2012-11-01,Agravo Regimental,14
2012-11-01,Apelação Cível,874
2012-11-01,Apelação e Reexame Necessário,104
2012-11-01,Apelação-Crime,219
2012-11-01,Conflito de Competência,4
2012-11-01,Correição Parcial,3
2012-11-01,Embargos de Declaração,160
2012-11-01,Embargos Infringentes,5
2012-11-01,Embargos Infringentes e de Nulidade,3
2012-11-01,Habeas Corpus,75
2012-11-01,Mandado de Segurança,5
2012-11-01,Medida Cautelar Inominada,1
2012-11-01,Recurso Cível,5
2012-11-01,Recurso em Sentido Estrito,32
2012-11-01,Reexame Necessário,24
2012-11-01,Revisão Criminal,4
2012-12-01,Ação Direta de Inconstitucionalidade,15
2012-12-01,Ação Rescisória,32
2012-12-01,Agravo,1871
2012-12-01,Agravo de Instrumento,5769
2012-12-01,Agravo em Execução,3
2012-12-01,Agravo Interno,10
2012-12-01,Agravo Regimental,241
2012-12-01,Apelação Cível,8943
2012-12-01,Apelação e Reexame Necessário,664
2012-12-01,Apelação-Crime,930
2012-12-01,Carta Testemunhável,3
2012-12-01,Conflito de Competência,115
2012-12-01,Conflito de Jurisdição,5
2012-12-01,Correição Parcial,38
2012-12-01,Desaforamento,1
2012-12-01,Embargos de Declaração,3585
2012-12-01,Embargos Infringentes,39
2012-12-01,Embargos Infringentes e de Nulidade,82
2012-12-01,Exceção de Impedimento,1
2012-12-01,Exceção de Suspeição,3
2012-12-01,Habeas Corpus,721
2012-12-01,Incidente de Inconstitucionalidade,1
2012-12-01,Inquérito Policial,1
2012-12-01,Mandado de Injunção,8
2012-12-01,Mandado de Segurança,60
2012-12-01,Medida Cautelar Inominada,2
2012-12-01,Petição,2
2012-12-01,Recurso Cível,995
2012-12-01,Recurso de Ofício,3
2012-12-01,Recurso em Sentido Estrito,148
2012-12-01,Reexame Necessário,189
2012-12-01,Representação Criminal,1
2012-12-01,Revisão Criminal,23
2012-12-01,Uniformização de Jurisprudência,2
2013-01-01,Ação Direta de Inconstitucionalidade,2
2013-01-01,Ação Rescisória,16
2013-01-01,Agravo,776
2013-01-01,Agravo de Instrumento,4608
2013-01-01,Agravo em Execução,137
2013-01-01,Agravo Interno,10
2013-01-01,Agravo Regimental,34
2013-01-01,Apelação Cível,5153
2013-01-01,Apelação e Reexame Necessário,395
2013-01-01,Apelação-Crime,82
2013-01-01,Cautelar Inominada,1
2013-01-01,Conflito de Competência,236
2013-01-01,Conflito de Jurisdição,8
2013-01-01,Correição Parcial,17
2013-01-01,Embargos de Declaração,1867
2013-01-01,Embargos Infringentes,3
2013-01-01,Exceção de Incompetência,1
2013-01-01,Exceção de Suspeição,1
2013-01-01,Habeas Corpus,642
2013-01-01,Intervenção no Estado,1
2013-01-01,Mandado de Injunção,6
2013-01-01,Mandado de Segurança,51
2013-01-01,Medida Cautelar Inominada,2
2013-01-01,Oposição,1
2013-01-01,Petição,3
2013-01-01,Recurso Cível,2259
2013-01-01,Recurso Crime,134
2013-01-01,Recurso de Ofício,1
2013-01-01,Recurso em Sentido Estrito,103
2013-01-01,Reexame Necessário,104
2013-01-01,Restauração de Autos,1
2013-01-01,Revisão Criminal,4
2013-02-01,Ação Direta de Inconstitucionalidade,2
2013-02-01,Ação Penal - Procedimento Ordinário,1
2013-02-01,Ação Rescisória,21
2013-02-01,Agravo,2170
2013-02-01,Agravo de Instrumento,6501
2013-02-01,Agravo Interno,9
2013-02-01,Agravo Regimental,174
2013-02-01,Apelação Cível,10314
2013-02-01,Apelação e Reexame Necessário,378
2013-02-01,Apelação-Crime,16
2013-02-01,Conflito de Competência,185
2013-02-01,Conflito de Jurisdição,10
2013-02-01,Correição Parcial,29
2013-02-01,Cumprimento de Sentença,1
2013-02-01,Embargos de Declaração,3806
2013-02-01,Exceção de Suspeição,2
2013-02-01,Habeas Corpus,858
2013-02-01,Impugnação à Assistência Judiciária,1
2013-02-01,Inquérito Policial,1
2013-02-01,Mandado de Injunção,1
2013-02-01,Mandado de Segurança,68
2013-02-01,Mandado de Segurança Crime,2
2013-02-01,Medida Cautelar Inominada,1
2013-02-01,Petição,3
2013-02-01,Recurso Cível,2154
2013-02-01,Recurso Crime,86
2013-02-01,Recurso de Ofício,1
2013-02-01,Recurso em Sentido Estrito,145
2013-02-01,Reexame Necessário,105
2013-02-01,Suspensão de Liminar ou Antecipação de Tutela,1
2013-03-01,Ação Direta de Inconstitucionalidade,14
2013-03-01,Ação Penal - Procedimento Ordinário,2
2013-03-01,Ação Rescisória,55
2013-03-01,Agravo,3580
2013-03-01,Agravo de Instrumento,11656
2013-03-01,Agravo em Execução,200
2013-03-01,Agravo Interno,7
2013-03-01,Agravo Regimental,269
2013-03-01,Apelação Cível,17135
2013-03-01,Apelação e Reexame Necessário,1142
2013-03-01,Apelação-Crime,306
2013-03-01,Cautelar Inominada,8
2013-03-01,Conflito de Competência,541
2013-03-01,Conflito de Jurisdição,17
2013-03-01,Correição Parcial,36
2013-03-01,Embargos de Declaração,6527
2013-03-01,Embargos Infringentes,215
2013-03-01,Embargos Infringentes e de Nulidade,117
2013-03-01,Exceção de Suspeição,7
2013-03-01,Habeas Corpus,1050
2013-03-01,Impugnação à Assistência Judiciária,1
2013-03-01,Impugnação ao Valor da Causa,2
2013-03-01,Incidente de Inconstitucionalidade,1
2013-03-01,Mandado de Injunção,18
2013-03-01,Mandado de Segurança,139
2013-03-01,Mandado de Segurança Crime,3
2013-03-01,Medida Cautelar Inominada,3
2013-03-01,Pedido de Assistência Judiciária Gratuita,1
2013-03-01,Petição,5
2013-03-01,Recurso Cível,2868
2013-03-01,Recurso Crime,280
2013-03-01,Recurso de Ofício,1
2013-03-01,Recurso em Sentido Estrito,236
2013-03-01,Reexame Necessário,177
2013-03-01,Restauração de Autos,1
2013-03-01,Revisão Criminal,19
2013-03-01,Suspensão de Liminar ou Antecipação de Tutela,1
2013-04-01,Ação Direta de Inconstitucionalidade,18
2013-04-01,Ação Penal - Procedimento Ordinário,1
