year accused convicted rate group
1825 6652 4037 0.6068 France
1826 6988 4348 0.6222 France
1827 6929 4236 0.6113 France
1828 7396 4551 0.6153 France
1829 7373 4475 0.6069 France
1830 6962 4130 0.5932 France
1825 802 567 0.7070 Seine
1826 824 527 0.6396 Seine
1827 675 436 0.6459 Seine
1828 868 559 0.6440 Seine
1829 908 604 0.6652 Seine
1830 804 484 0.6020 Seine
1825 1897 882 0.4649 People
1826 1907 967 0.5071 People
1827 1911 948 0.4961 People
1828 1844 871 0.4723 People
1829 1791 834 0.4657 People
1830 1666 766 0.4598 People
1825 4755 3155 0.6635 Property
1826 5081 3381 0.6654 Property
1827 5018 3288 0.6552 Property
1828 5552 3680 0.6628 Property
1829 5582 3641 0.6523 Property
1830 5296 3364 0.6352 Property
